event_id,match_code,round,team_key,is_home,xg_raw,xg_weighted,xg_reduction_pct,n_shots,n_decided,xg_level,xg_d2,xg_d3plus
15526004,FOsokeb,2,novorizontino,False,0.2789,0.2789,0.0,9,0,0.2789,0.0,0.0
15526005,EOseau,3,botafogo-sp,True,1.2168,1.2168,0.0,16,0,1.2168,0.0,0.0
15526005,EOseau,3,sao-bernardo,False,1.6217,1.6217,0.0,13,0,1.6217,0.0,0.0
15526006,HPisokeb,3,novorizontino,True,1.1232,1.1232,0.0,19,0,1.1232,0.0,0.0
15526006,HPisokeb,3,clube-de-regatas-brasil,False,1.6057,1.6057,0.0,11,0,1.6057,0.0,0.0
15526007,yOsAfMc,3,athletic-club,True,1.4356,1.4356,0.0,10,0,1.4356,0.0,0.0
15526007,yOsAfMc,3,america-mg,False,1.9494,1.9494,0.0,20,0,1.9494,0.0,0.0
15526008,jOsxP,3,londrina,True,0.8601,0.8601,0.0,13,0,0.8601,0.0,0.0
15526008,jOsxP,3,sport,False,2.2325,2.2325,0.0,16,0,2.2325,0.0,0.0
15526009,FOsvP,3,fortaleza,True,1.7105,1.6462,3.8,11,2,1.5819,0.1286,0.0
15526009,FOsvP,3,juventude,False,1.0524,0.9465,10.1,18,3,0.8407,0.2117,0.0
15526010,kOsJO,3,goias,True,1.3207,1.3207,0.0,13,0,1.3207,0.0,0.0
15526010,kOsJO,3,criciuma,False,0.7391,0.7391,0.0,9,0,0.7391,0.0,0.0
15526011,pWcsJRp,3,avai,True,1.1487,1.1487,0.0,13,0,1.1487,0.0,0.0
15526011,pWcsJRp,3,operario-pr,False,0.1545,0.1545,0.0,6,0,0.1545,0.0,0.0
15526012,uOslP,3,nautico,True,2.3986,2.3986,0.0,23,0,2.3986,0.0,0.0
15526012,uOslP,3,ponte-preta,False,0.5592,0.5592,0.0,4,0,0.5592,0.0,0.0
15526013,bPscJu,3,cuiaba,True,2.5215,1.8827,25.3,16,7,1.2439,1.2776,0.0
15526013,bPscJu,3,ceara,False,1.3583,1.3205,2.8,7,1,1.2827,0.0756,0.0
15526014,wPsoWc,3,vila-nova,True,2.1963,2.1963,0.0,17,0,2.1963,0.0,0.0
15526014,wPsoWc,3,atletico-go,False,1.5294,1.5294,0.0,10,0,1.5294,0.0,0.0
15526015,uOswP,4,ponte-preta,True,1.8286,1.8286,0.0,17,0,1.8286,0.0,0.0
15526015,uOswP,4,vila-nova,False,0.7698,0.7698,0.0,14,0,0.7698,0.0,0.0
15526016,vPseau,4,sao-bernardo,True,1.4222,1.4222,0.0,15,0,1.4222,0.0,0.0
15526016,vPseau,4,fortaleza,False,1.4915,1.4915,0.0,17,0,1.4915,0.0,0.0
15526017,yOsokeb,4,america-mg,True,0.3364,0.2881,14.3,6,2,0.2399,0.0965,0.0
15526017,yOsokeb,4,novorizontino,False,1.7232,1.3794,20.0,15,5,1.113,0.4554,0.1548
15526018,JRpscJu,4,operario-pr,True,0.9759,0.9759,0.0,13,0,0.9759,0.0,0.0
