season,competition,round,event_id,match_code,match_label,home_team,away_team,goal_incident_id,scorer_name,goal_minute,goal_added_time,home_score_after,away_score_after,sequence_order,player_name,player_id,player_position,action_type,is_assist,from_x,from_y,to_x,to_y,is_home,transformed_at
2026,Brasileirão Série B,7,15526072,jOsbP,Sport Recife x Ceará,Sport Recife,Ceará,347127315,Madson,71,,2,0,1,Zé Lucas,2040561,M,pass,False,62.8,72.0,69.4,83.5,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,7,15526072,jOsbP,Sport Recife x Ceará,Sport Recife,Ceará,347127315,Madson,71,,2,0,2,Marlon,965796,M,pass,True,69.0,82.0,96.8,41.6,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,7,15526072,jOsbP,Sport Recife x Ceará,Sport Recife,Ceará,347127315,Madson,71,,2,0,3,Madson,243439,D,goal,False,96.8,41.6,,,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,7,15526072,jOsbP,Sport Recife x Ceará,Sport Recife,Ceará,347126185,Chrystian Barletta,53,,1,0,1,Chrystian Barletta,1035765,M,goal,False,88.5,50.0,,,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347781590,Perotti,59,,1,3,1,Marcelo Ajul,1634992,D,pass,False,67.8,14.9,55.1,10.3,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347781590,Perotti,59,,1,3,2,Carlos De Pena,311394,M,pass,False,55.1,10.3,58.8,2.6,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347781590,Perotti,59,,1,3,3,Felipinho,1048276,M,pass,False,58.8,2.6,59.0,8.3,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347781590,Perotti,59,,1,3,4,Carlos De Pena,311394,M,pass,False,59.0,8.3,15.6,8.5,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347781590,Perotti,59,,1,3,5,Chrystian Barletta,1035765,M,cross,True,14.7,8.9,8.3,57.9,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347781590,Perotti,59,,1,3,6,Perotti,840076,F,goal,False,8.3,57.9,,,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347779913,Chrystian Barletta,45,5.0,1,2,1,Chrystian Barletta,1035765,M,goal,False,11.5,50.0,,,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778690,Felipinho,31,,1,1,1,Felipinho,1048276,M,pass,False,33.8,37.4,29.3,34.5,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778690,Felipinho,31,,1,1,2,Perotti,840076,F,pass,False,29.3,34.6,29.0,43.3,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778690,Felipinho,31,,1,1,3,Chrystian Barletta,1035765,M,pass,True,29.5,43.2,11.3,39.5,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778690,Felipinho,31,,1,1,4,Felipinho,1048276,M,goal,False,11.3,39.5,,,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778332,Danilo Barcelos,23,,1,0,1,Kevyson,1389980,D,pass,False,68.4,51.6,52.3,46.3,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778332,Danilo Barcelos,23,,1,0,2,André Lima,1116646,M,pass,False,48.3,39.3,27.1,51.4,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778332,Danilo Barcelos,23,,1,0,3,Diogo Silva,167109,G,pass,False,30.6,49.2,69.3,10.2,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,8,15526075,jOsuO,Ponte Preta x Sport Recife,Ponte Preta,Sport Recife,347778332,Danilo Barcelos,23,,1,0,4,Weverton,1105062,D,pass,False,69.3,10.2,73.4,22.2,True,2026-06-02T14:46:54.005019Z
